genename	element
GRMZM2G165188	TF
GRMZM2G095982	TF
GRMZM2G099408	TF
GRMZM2G407605	TF
GRMZM2G407623	TF
AC198403.3_FG001	TF
GRMZM2G068330	TF
GRMZM2G122160	TF
GRMZM2G008259	TF
GRMZM5G837876	TF
GRMZM2G001048	TF
GRMZM2G120167	TF
GRMZM2G080168	TF
GRMZM2G143392	TF
GRMZM2G106798	TF
GRMZM2G054125	TF
GRMZM2G146514	TF
GRMZM2G477533	TF
GRMZM2G097135	TF
GRMZM2G342217	TF
GRMZM2G033356	TF
GRMZM2G378580	TF
AC213666.3_FG003	TF
GRMZM2G101806	TF
GRMZM2G176173	TF
GRMZM2G089995	TF
GRMZM2G106673	TF
GRMZM2G130442	TF
GRMZM2G444073	TF
GRMZM2G302323	TF
GRMZM2G543629	TF
GRMZM2G098884	TF
GRMZM2G315506	TF
GRMZM2G315515	TF
AC196475.3_FG005	TF
GRMZM2G014902	TF
GRMZM2G157306	TF
GRMZM2G017586	TF
GRMZM2G170232	TF
GRMZM2G008482	TF
GRMZM2G069047	TF
GRMZM2G162020	TF
GRMZM2G123246	TF
GRMZM2G105387	TF
GRMZM2G354618	TF
GRMZM5G818776	TF
GRMZM5G812883	TF
GRMZM2G113181	TF
GRMZM2G125162	TF
GRMZM2G164735	TF
GRMZM2G101511	TF
AC233751.1_FG002	TF
GRMZM2G100583	TF
GRMZM2G145579	TF
GRMZM2G156737	TF
GRMZM2G060206	TF
GRMZM2G125777	TF
GRMZM2G423292	TF
GRMZM2G062711	TF
GRMZM2G471635	TF
GRMZM2G157722	TF
GRMZM2G549512	TF
GRMZM2G048826	TF
GRMZM2G016039	TF
GRMZM2G348307	TF
GRMZM2G011422	TF
GRMZM2G148561	TF
GRMZM2G016145	TF
GRMZM2G147712	TF
AC205562.3_FG002	TF
GRMZM2G079768	TF
GRMZM2G122076	TF
GRMZM2G175827	TF
GRMZM2G151519	TF
GRMZM2G060319	TF
GRMZM2G526668	TF
GRMZM2G111117	TF
GRMZM2G168002	TF
AC198937.4_FG005	TF
GRMZM2G353734	TF
GRMZM2G370863	TF
GRMZM2G419252	TF
GRMZM2G162840	TF
GRMZM2G120246	TF
GRMZM2G041701	TF
GRMZM2G469873	TF
GRMZM2G059167	TF
GRMZM2G060765	Coreg
GRMZM2G031062	Coreg
GRMZM2G342856	Coreg
GRMZM2G478798	Coreg
GRMZM5G809195	Coreg
GRMZM2G465553	Coreg
GRMZM2G036169	Coreg
GRMZM2G574887	Coreg
GRMZM2G068331	Coreg
GRMZM2G031615	Coreg
GRMZM2G148188	Coreg
AC211652.4_FG002	Coreg
GRMZM2G162859	Coreg
GRMZM2G101480	Coreg
GRMZM2G026724	Coreg
GRMZM2G449355	Coreg
GRMZM2G055141	Coreg
GRMZM5G870572	Coreg
GRMZM2G574858	Coreg
GRMZM2G059544	Coreg
GRMZM2G059266	Coreg
GRMZM2G081441	Coreg
GRMZM2G372171	Coreg
GRMZM2G030768	Coreg
GRMZM5G871463	Coreg
GRMZM2G015190	Coreg
GRMZM2G096171	TF
GRMZM2G137413	TF
GRMZM2G139740	TF
GRMZM2G107807	TF
GRMZM2G047715	TF
GRMZM2G081359	TF
AC210616.4_FG005	TF
AC205484.3_FG005	TF
GRMZM2G312806	TF
GRMZM5G898290	TF
GRMZM2G055782	TF
GRMZM2G165257	TF
GRMZM2G127924	TF
GRMZM2G104078	TF
GRMZM2G019335	TF
GRMZM2G004908	TF
GRMZM2G020081	TF
GRMZM2G043792	TF
GRMZM2G062009	TF
GRMZM2G127857	TF
GRMZM2G135461	TF
GRMZM2G081406	TF
GRMZM2G078077	TF
GRMZM2G300924	TF
GRMZM2G496770	TF
GRMZM2G111045	TF
GRMZM2G354151	TF
GRMZM2G063203	TF
GRMZM2G377217	TF
GRMZM2G048621	TF
GRMZM2G072926	TF
GRMZM2G342691	TF
GRMZM2G098800	TF
GRMZM2G114998	TF
GRMZM2G000520	TF
GRMZM2G124566	TF
GRMZM2G118693	TF
GRMZM2G028438	TF
GRMZM2G003514	TF
GRMZM2G170322	TF
GRMZM2G091003	TF
GRMZM2G091044	TF
GRMZM5G833253	TF
GRMZM2G070865	TF
GRMZM2G138683	TF
GRMZM2G176340	TF
GRMZM2G176289	TF
GRMZM2G069365	TF
GRMZM2G589696	TF
GRMZM2G110109	TF
GRMZM2G042198	TF
GRMZM2G011015	TF
GRMZM2G124663	TF
GRMZM2G449950	TF
GRMZM2G167560	TF
GRMZM2G122846	TF
GRMZM2G021339	TF
GRMZM2G055158	TF
GRMZM2G125943	TF
GRMZM2G544441	TF
GRMZM2G113950	TF
GRMZM2G075368	TF
GRMZM2G075499	TF
GRMZM2G140901	TF
GRMZM2G379005	TF
GRMZM2G108147	TF
GRMZM2G111415	TF
GRMZM2G316758	TF
GRMZM2G015021	TF
GRMZM2G000610	TF
GRMZM2G018398	TF
GRMZM2G097081	TF
GRMZM2G449909	TF
GRMZM2G105335	TF
GRMZM2G165991	TF
GRMZM2G126646	TF
GRMZM2G011110	TF
GRMZM2G173771	TF
GRMZM2G370777	TF
GRMZM2G008691	TF
GRMZM2G029323	TF
GRMZM2G042101	TF
GRMZM2G361659	TF
GRMZM2G025989	TF
GRMZM2G063216	TF
GRMZM2G451035	TF
GRMZM2G461648	TF
GRMZM2G169564	TF
GRMZM2G060465	TF
GRMZM2G131516	TF
GRMZM2G346113	TF
GRMZM2G462417	TF
GRMZM2G162434	TF
GRMZM2G174834	TF
GRMZM2G464037	TF
GRMZM2G140085	TF
GRMZM2G140094	TF
GRMZM2G030877	TF
GRMZM2G011119	TF
GRMZM2G439903	TF
GRMZM2G328742	TF
GRMZM2G013302	TF
GRMZM2G013271	TF
GRMZM2G091433	TF
GRMZM2G446426	TF
AC190609.3_FG001	TF
GRMZM2G149150	TF
GRMZM2G038479	TF
GRMZM2G098696	TF
GRMZM2G125596	TF
GRMZM2G163726	TF
GRMZM2G488465	TF
GRMZM5G850092	TF
GRMZM2G017268	TF
GRMZM2G144480	TF
GRMZM2G174776	TF
GRMZM2G027972	TF
GRMZM2G071196	TF
GRMZM2G460544	TF
GRMZM2G098557	TF
GRMZM2G551402	TF
GRMZM2G003944	TF
GRMZM2G089244	TF
GRMZM2G139760	TF
GRMZM2G123667	TF
GRMZM2G108959	TF
GRMZM2G458728	TF
GRMZM2G079365	TF
GRMZM2G091656	TF
GRMZM2G126148	TF
GRMZM2G046816	TF
GRMZM2G076896	TF
GRMZM2G017606	TF
GRMZM2G064145	Coreg
GRMZM2G390691	Coreg
GRMZM2G144398	Coreg
GRMZM2G134752	Coreg
GRMZM2G178435	Coreg
GRMZM2G156785	Coreg
GRMZM2G011624	Coreg
GRMZM2G127548	Coreg
GRMZM2G383210	Coreg
GRMZM2G142768	Coreg
GRMZM2G107109	Coreg
GRMZM2G140524	Coreg
GRMZM2G171163	Coreg
GRMZM2G027075	Coreg
GRMZM2G153150	Coreg
GRMZM2G059302	Coreg
GRMZM2G016997	Coreg
GRMZM2G125648	Coreg
GRMZM2G163671	Coreg
GRMZM2G130505	Coreg
GRMZM2G332809	Coreg
GRMZM2G078198	Coreg
GRMZM2G118082	Coreg
GRMZM2G590333	Coreg
GRMZM2G138427	TF
GRMZM2G419239	TF
GRMZM2G067910	TF
GRMZM2G125239	TF
GRMZM2G053722	TF
GRMZM2G038158	TF
GRMZM2G085751	TF
GRMZM2G164359	TF
GRMZM2G073788	TF
GRMZM2G472589	TF
GRMZM2G052102	TF
GRMZM2G307241	TF
GRMZM2G040452	TF
GRMZM2G318689	TF
GRMZM2G056920	TF
GRMZM2G064328	TF
GRMZM2G336766	TF
GRMZM2G146028	TF
GRMZM2G103315	TF
GRMZM2G433591	TF
GRMZM2G168229	TF
GRMZM2G163813	TF
GRMZM2G028980	TF
GRMZM2G119640	TF
GRMZM2G012262	TF
GRMZM2G052720	TF
GRMZM2G166041	TF
GRMZM2G166035	TF
GRMZM2G155370	TF
GRMZM2G065451	TF
GRMZM2G139372	TF
GRMZM2G389768	TF
AC184831.3_FG005	TF
AC184831.3_FG008	TF
GRMZM5G879778	TF
GRMZM2G019106	TF
GRMZM2G069486	TF
GRMZM2G361611	TF
GRMZM2G314882	TF
GRMZM2G037128	TF
GRMZM2G144196	TF
GRMZM2G384339	TF
GRMZM2G138421	TF
GRMZM2G144109	TF
GRMZM2G144172	TF
GRMZM2G144188	TF
GRMZM2G110952	TF
GRMZM2G108694	TF
GRMZM2G034253	TF
GRMZM2G336533	TF
GRMZM2G018553	TF
GRMZM2G302549	TF
GRMZM2G004356	TF
GRMZM2G007063	TF
GRMZM2G166049	TF
GRMZM2G028813	TF
GRMZM2G089361	TF
AC191251.3_FG005	TF
GRMZM2G016756	TF
GRMZM5G868875	TF
GRMZM2G112548	TF
GRMZM2G104789	TF
GRMZM2G386273	TF
GRMZM2G033267	TF
GRMZM2G084130	TF
GRMZM2G171468	TF
GRMZM2G377904	TF
GRMZM2G071620	TF
GRMZM2G553379	TF
GRMZM2G129817	TF
GRMZM2G460396	TF
GRMZM2G147880	TF
GRMZM2G065896	TF
GRMZM5G853392	TF
GRMZM2G385543	TF
GRMZM2G082343	TF
GRMZM2G104342	TF
GRMZM2G455869	TF
GRMZM2G425236	TF
