id_name_v4	id_name_v3	grassius_name	family	synonym
Zm00001d044785	GRMZM2G026833	ZmGLK57	G2-like	GLK1
Zm00001d044818	GRMZM2G435290	ZmIAA40	Aux/IAA	IAA40
Zm00001d044819	GRMZM2G435294	ZmOrphan197	Orphans	
Zm00001d044825	GRMZM2G392306	ZmNLP14	NLP	NLP14
Zm00001d044836	GRMZM2G113888	ZmTCP9	TCP	TCPTF9
Zm00001d044850	GRMZM2G152415	ZmMADS60	MADS	MADS60
Zm00001d044857	GRMZM5G852704	ZmEREB31	AP2-EREBP	EREB31
Zm00001d044899	GRMZM5G814279	ZmMADS74	MADS	MADS74
Zm00001d044902	GRMZM2G017537	ZmMED6_1	MED6	
