gene_name	clone_name
GRMZM2G034110	pUT5526
GRMZM2G136887	pUT3449
GRMZM2G171650	pUT3480
GRMZM2G173852	pUT3481
GRMZM2G141219	pUT5448
AC205562.3_FG002	pUT5404
GRMZM2G099319	pUT5467
GRMZM2G109987	pUT5466
GRMZM2G130854	pUT5445
GRMZM2G361611	pUT5456
GRMZM2G147880	pUT5444
GRMZM2G068967	pUT5449
GRMZM2G148333	pUT5453
GRMZM2G125522	pUT5389
GRMZM2G119999	pUT5416
AC233853.1_FG002	pUT5417
GRMZM2G111045	pUT5388
GRMZM5G803308	pUT5391
GRMZM2G163291	pUT3159
GRMZM2G049194	pUT5679
GRMZM2G070523	pUT5392
GRMZM2G175870	pUT5673
AC206951.3_FG017	pUT5520
GRMZM2G496770	pUT5366
GRMZM2G129674	pUT5408
GRMZM5G821024	pUT5527
GRMZM2G150841	pUT5525
GRMZM2G069325	pUT5356
GRMZM5G846057	pUT5361
GRMZM2G094352	pUT5421
GRMZM2G516301	pUT5446
GRMZM2G001106	pUT5396
GRMZM2G175543	pUT5409
GRMZM2G122537	pUT3492
GRMZM2G023667	pUT3162
GRMZM2G088140	pUT3188
GRMZM2G178741	pUT3217
GRMZM2G057408	pUT3451
GRMZM2G111232	pUT6660
GRMZM2G170201	pUT6574
GRMZM2G110541	pUT6681
GRMZM2G351330	pUT6527
GRMZM2G016817	pUT6529
GRMZM2G004483	pUT6579
GRMZM2G018876	pUT6580
GRMZM2G025062	pUT6630
GRMZM2G079365	pUT5458
GRMZM2G160971	pUT5447
GRMZM2G033230	pUT5459
GRMZM2G032071	pUT6603
GRMZM2G144109	pUT6605
GRMZM2G024799	pUT6602
GRMZM2G028969	pUT5956
GRMZM2G086403	pUT1105
GRMZM5G850092	pUT1103
GRMZM2G104390	pUT1111
GRMZM2G116785	pUT1155
GRMZM2G087741	pUT1106
GRMZM2G006585	pUT1109
GRMZM2G145444	pUT1157
AC209819.3_FG009	pUT3982
GRMZM2G174776	pUT3983
GRMZM2G023708	pUT6553
GRMZM2G307152	pUT5603
AC213884.3_FG002	pUT5586
GRMZM2G079825	pUT5597
GRMZM2G097182	pUT5598
GRMZM2G039870	pUT5374
GRMZM2G060517	pUT5378
GRMZM2G475678	pUT5385
GRMZM2G415077	pUT6541
GRMZM2G024871	pUT6555
GRMZM2G461907	pUT5652
AC213666.3_FG003	pUT5640
GRMZM2G425427	pUT5650
GRMZM2G459864	pUT5651
GRMZM2G466044	pUT5653
GRMZM5G853066	pUT5655
AC198403.3_FG001	pUT5370
AC198979.4_FG009	pUT5371
GRMZM2G033656	pUT5373
GRMZM2G055180	pUT5377
GRMZM2G060876	pUT5379
GRMZM2G396632	pUT6540
GRMZM2G300924	pUT6664
GRMZM2G007406	pUT5587
GRMZM2G060050	pUT5595
GRMZM2G066734	pUT5596
GRMZM2G010100	pUT5643
GRMZM2G069146	pUT5644
GRMZM2G089995	pUT5645
GRMZM2G124011	pUT5646
GRMZM2G125460	pUT5647
GRMZM2G137532	pUT5648
GRMZM2G472100	pUT5654
AC186606.4_FG003	pUT5369
GRMZM2G026926	pUT5372
GRMZM2G099408	pUT5380
GRMZM2G172575	pUT5381
GRMZM2G306610	pUT5382
GRMZM2G369799	pUT5383
GRMZM5G839969	pUT5386
GRMZM2G478965	pUT5976
GRMZM2G002119	pUT6538
GRMZM2G072926	pUT6539
GRMZM2G020054	pUT6542
GRMZM2G038015	pUT6543
AC207888.3_FG009	pUT6544
GRMZM2G001721	pUT6545
GRMZM2G062910	pUT6546
GRMZM2G100982	pUT6557
GRMZM2G057753	pUT6558
GRMZM2G368491	pUT6666
GRMZM2G011236	pUT5588
GRMZM2G019443	pUT5589
GRMZM2G021790	pUT5590
GRMZM2G040664	pUT5591
GRMZM2G044824	pUT5592
GRMZM2G047600	pUT5593
GRMZM2G047918	pUT5594
GRMZM2G115070	pUT5600
GRMZM2G139765	pUT5601
GRMZM2G156737	pUT5602
GRMZM2G328197	pUT5604
GRMZM2G337892	pUT5605
GRMZM2G429378	pUT5607
GRMZM2G470857	pUT5608
GRMZM2G474326	pUT5609
GRMZM2G480434	pUT5610
GRMZM5G837876	pUT5611
AC233933.1_FG001	pUT5641
GRMZM2G000520	pUT5642
GRMZM2G317596	pUT5649
GRMZM2G044408	pUT5376
GRMZM2G369472	pUT5387
AC217910.3_FG006	pUT5712
GRMZM2G121706	pUT5724
GRMZM2G102790	pUT5772
AC234149.1_FG002	pUT5713
GRMZM2G122709	pUT5725
GRMZM2G032180	pUT5773
GRMZM5G895313	pUT5774
GRMZM2G073044	pUT5715
GRMZM2G017429	pUT5727
GRMZM2G085035	pUT5775
GRMZM2G079768	pUT5716
GRMZM2G068462	pUT5728
GRMZM2G130131	pUT5776
GRMZM2G095982	pUT5717
GRMZM2G087679	pUT5729
GRMZM2G386095	pUT5718
GRMZM2G325350	pUT5730
GRMZM2G032478	pUT5720
GRMZM2G067376	pUT5721
GRMZM2G095452	pUT5722
GRMZM2G106836	pUT5723
GRMZM5G842961	pUT5771
GRMZM2G458437	pUT5965
GRMZM2G137341	pUT5966
GRMZM2G419901	pUT5967
GRMZM2G177019	pUT5968
GRMZM2G019060	pUT6549
GRMZM2G038479	pUT6560
AC200124.3_FG005	pUT6561
GRMZM2G092363	pUT6562
GRMZM2G117949	pUT6616
AC211478.3_FG004	pUT6617
GRMZM2G065538	pUT5977
AC233950.1_FG002	pUT5978
GRMZM2G337139	pUT5979
GRMZM2G097135	pUT5980
GRMZM2G176173	pUT5981
GRMZM2G093895	pUT3645
GRMZM2G105317	pUT3038
GRMZM2G052499	pUT3965
GRMZM5G868875	pUT3039
GRMZM2G162409	pUT3420
GRMZM2G113779	pUT3360
GRMZM2G163813	pUT3361
GRMZM2G026417	pUT3119
GRMZM2G138455	pUT3054
GRMZM2G440949	pUT3111
GRMZM2G165972	pUT3138
GRMZM2G395842	pUT3067
GRMZM2G157679	pUT3101
GRMZM2G060834	pUT3369
GRMZM2G126018	pUT3362
GRMZM2G124421	pUT3084
AC155434.2_FG005	pUT3417
GRMZM2G140694	pUT3045
GRMZM2G123900	pUT3120
GRMZM2G089812	pUT3114
GRMZM2G124495	pUT3371
GRMZM2G092214	pUT3364
GRMZM2G305582	pUT3059
GRMZM2G107491	pUT3062
GRMZM2G068973	pUT3135
GRMZM2G025014	pUT3089
GRMZM2G135703	pUT3676
GRMZM2G034638	pUT3377
GRMZM2G169884	pUT3963
GRMZM2G045431	pUT3675
GRMZM2G127379	pUT3133
GRMZM2G062009	pUT3227
GRMZM2G115516	pUT3363
AC199782.5_FG003	pUT3366
GRMZM2G060319	pUT3439
GRMZM2G099862	pUT3370
GRMZM2G039074	pUT3368
EF517601.1_FG010	pUT3052
GRMZM2G123876	pUT3066
GRMZM2G020928	pUT3128
AC233935.1_FG005	pUT3043
GRMZM2G010920	pUT3338
GRMZM2G069525	pUT3340
GRMZM2G067743	pUT3345
GRMZM2G006477	pUT3372
GRMZM2G173943	pUT3140
GRMZM2G117854	pUT3343
AC233871.1_FG008	pUT3241
GRMZM5G842019	pUT3374
GRMZM2G134735	pUT3962
GRMZM2G124476	pUT3061
GRMZM2G146380	pUT3081
GRMZM2G171395	pUT3082
GRMZM2G037200	pUT3127
GRMZM2G166721	pUT3145
GRMZM2G151689	pUT3088
GRMZM2G017349	pUT3401
GRMZM2G019806	pUT3404
GRMZM2G085751	pUT3406
GRMZM2G064638	pUT3408
GRMZM2G042920	pUT3413
GRMZM2G068604	pUT3424
GRMZM2G023872	pUT3051
GRMZM2G111123	pUT3090
GRMZM2G589696	pUT3044
GRMZM2G017470	pUT3046
GRMZM2G311316	pUT3048
GRMZM2G098517	pUT3055
GRMZM2G106673	pUT3421
GRMZM2G181254	pUT3096
GRMZM2G328742	pUT3229
GRMZM2G149940	pUT3236
GRMZM2G168002	pUT3348
GRMZM2G118485	pUT3097
GRMZM5G801627	pUT3064
GRMZM2G006493	pUT3068
GRMZM2G042218	pUT3074
GRMZM2G041746	pUT3079
GRMZM2G044322	pUT3232
GRMZM2G098784	pUT3105
GRMZM2G172586	pUT3126
GRMZM2G138976	pUT3143
GRMZM5G866423	pUT3144
GRMZM2G094168	pUT5570
GRMZM2G000610	pUT5571
GRMZM2G037650	pUT5572
GRMZM5G873586	pUT5574
GRMZM2G096709	pUT3415
GRMZM2G075122	pUT3117
GRMZM2G177229	pUT3136
GRMZM5G866954	pUT3040
GRMZM2G096610	pUT3971
GRMZM2G056920	pUT3060
GRMZM2G154182	pUT3077
GRMZM2G163726	pUT3142
GRMZM2G074124	pUT3381
GRMZM2G081816	pUT3398
GRMZM2G030762	pUT3399
GRMZM2G178182	pUT3405
GRMZM2G080168	pUT3407
GRMZM2G089501	pUT3423
GRMZM2G144275	pUT3425
GRMZM2G414252	pUT3428
GRMZM2G397518	pUT3430
GRMZM5G821755	pUT3098
GRMZM5G883993	pUT3099
GRMZM2G125969	pUT3231
GRMZM2G431309	pUT3375
GRMZM2G113742	pUT3341
GRMZM2G123308	pUT3358
GRMZM2G098594	pUT3373
GRMZM2G142718	pUT3047
GRMZM2G025642	pUT3085
GRMZM2G163843	pUT3086
GRMZM2G031200	pUT3132
GRMZM2G050590	pUT3419
GRMZM2G173321	pUT3113
GRMZM2G125596	pUT3121
GRMZM2G153233	pUT3102
GRMZM2G370863	pUT3984
GRMZM2G313756	pUT3673
GRMZM2G102938	pUT3137
GRMZM2G035944	pUT3365
GRMZM2G142751	pUT3376
GRMZM2G155252	pUT3643
GRMZM2G145579	pUT3426
GRMZM2G072376	pUT3427
GRMZM2G180568	pUT3063
GRMZM2G033014	pUT3083
GRMZM2G175827	pUT3087
GRMZM2G089850	pUT3129
GRMZM2G150262	pUT3436
GRMZM2G065506	pUT3234
GRMZM2G529859	pUT3390
GRMZM2G075562	pUT3382
GRMZM2G042198	pUT3383
GRMZM2G369629	pUT3412
GRMZM2G137502	pUT3434
GRMZM5G828396	pUT3438
GRMZM2G006871	pUT3123
GRMZM2G041701	pUT3225
GRMZM5G880268	pUT3056
GRMZM2G173124	pUT3065
GRMZM2G038073	pUT3080
GRMZM2G134073	pUT3131
GRMZM2G003715	pUT6175
GRMZM2G171468	pUT3125
GRMZM5G853392	pUT3346
GRMZM2G178261	pUT3418
GRMZM2G089050	pUT3228
GRMZM2G470974	pUT3680
GRMZM2G423423	pUT3679
GRMZM2G145412	pUT3682
GRMZM2G003944	pUT3442
GRMZM2G088443	pUT3410
GRMZM2G137541	pUT3437
GRMZM2G306357	pUT3353
GRMZM2G174240	pUT3057
GRMZM2G100794	pUT3072
GRMZM2G074358	pUT3078
GRMZM2G058518	pUT3134
GRMZM2G174917	pUT5971
GRMZM2G056400	pUT3342
GRMZM2G073750	pUT3107
GRMZM2G343157	pUT3966
GRMZM2G156016	pUT3226
GRMZM2G011832	pUT3678
GRMZM2G172657	pUT3422
GRMZM2G354618	pUT3671
GRMZM2G471635	pUT3674
GRMZM2G179121	pUT3644
GRMZM2G101350	pUT3402
GRMZM2G112629	pUT3409
GRMZM5G856837	pUT3411
GRMZM2G077002	pUT3386
GRMZM2G141955	pUT3388
GRMZM2G116646	pUT3389
GRMZM2G083886	pUT3118
GRMZM2G146514	pUT3069
GRMZM2G036837	pUT3071
GRMZM2G009892	pUT3130
GRMZM2G092409	pUT3141
GRMZM2G398055	pUT3347
GRMZM2G041223	pUT3356
GRMZM2G069009	pUT3070
GRMZM2G162749	pUT3075
GRMZM2G146283	pUT3122
AC212859.3_FG008	pUT5568
GRMZM2G161315	pUT3109
GRMZM2G034840	pUT3104
GRMZM2G437460	pUT3106
GRMZM2G378490	pUT3994
GRMZM2G078691	pUT3964
GRMZM2G371058	pUT3073
GRMZM2G438438	pUT3139
GRMZM2G016370	pUT3378
GRMZM2G117193	pUT3379
GRMZM2G067171	pUT3392
GRMZM2G111146	pUT3432
GRMZM2G159456	pUT3435
GRMZM2G164359	pUT3239
GRMZM2G053503	pUT6516
GRMZM2G129777	pUT5769
GRMZM2G061487	pUT5770
GRMZM2G131281	pUT5792
GRMZM2G001048	pUT3053
GRMZM2G176340	pUT3042
GRMZM2G052515	pUT3233
GRMZM2G071034	pUT3237
GRMZM2G133398	pUT3351
GRMZM2G052616	pUT3384
AC202864.3_FG002	pUT3391
GRMZM2G163200	pUT3387
GRMZM5G885700	pUT3393
GRMZM2G061906	pUT3433
GRMZM2G036966	pUT3058
GRMZM2G441325	pUT3108
GRMZM2G137413	pUT3110
GRMZM2G414844	pUT3076
GRMZM2G328438	pUT3146
GRMZM2G089619	pUT4006
GRMZM2G134866	pUT3240
GRMZM2G050939	pUT3394
GRMZM2G048850	pUT3395
GRMZM2G064197	pUT3396
GRMZM2G105266	pUT5970
GRMZM5G808366	pUT3116
GRMZM2G107560	pUT3672
GRMZM2G702026	pUT3352
GRMZM2G116557	pUT3354
GRMZM2G045883	pUT3414
GRMZM2G051785	pUT3041
GRMZM2G026833	pUT3357
GRMZM2G074773	pUT3990
GRMZM2G110402	pUT3238
GRMZM2G479610	pUT3991
GRMZM2G417164	pUT3670
GRMZM2G155662	pUT3235
GRMZM5G825321	pUT3416
GRMZM2G108865	pUT3677
GRMZM2G118047	pUT3115
GRMZM2G004619	pUT3344
GRMZM2G036288	pUT3681
GRMZM2G084173	pUT3094
GRMZM5G882527	pUT3403
GRMZM2G129311	pUT5671
GRMZM2G421256	pUT5576
GRMZM5G830932	pUT5580
GRMZM2G170137	pUT5581
GRMZM2G142150	pUT5768
GRMZM2G135783	pUT5669
GRMZM2G133806	pUT5672
GRMZM2G042407	pUT5578
GRMZM2G159766	pUT5575
GRMZM2G137869	pUT5662
GRMZM2G362627	pUT5664
GRMZM2G025758	pUT5666
GRMZM2G468479	pUT5324
GRMZM2G133311	pUT5326
GRMZM2G170322	pUT5334
GRMZM2G700011	pUT5339
GRMZM2G106781	pUT5343
GRMZM2G026927	pUT5744
GRMZM2G139082	pUT5344
GRMZM2G023257	pUT5345
GRMZM2G004060	pUT5346
GRMZM2G118693	pUT5349
GRMZM2G079727	pUT5750
GRMZM2G006736	pUT5742
GRMZM2G070295	pUT6655
GRMZM2G091044	pUT6656
GRMZM2G092483	pUT6657
GRMZM2G004548	pUT5656
GRMZM2G092517	pUT5660
GRMZM2G161146	pUT6552
GRMZM2G119693	pUT1189
GRMZM2G370332	pUT1455
GRMZM2G126834	pUT1134
GRMZM2G051256	pUT1749
GRMZM2G047626	pUT1131
GRMZM2G119640	pUT1142
GRMZM2G109480	pUT1400
GRMZM2G012262	pUT1764
GRMZM2G050550	pUT1162
GRMZM2G005815	pUT1392
GRMZM2G138268	pUT1159
GRMZM2G139688	pUT1167
GRMZM5G807064	pUT1432
GRMZM2G050305	pUT1854
GRMZM2G064744	pUT1177
GRMZM2G181605	pUT1175
GRMZM2G082745	pUT1395
GRMZM2G068586	pUT1397
GRMZM5G858197	pUT1140
GRMZM2G094067	pUT1144
GRMZM2G127857	pUT1149
GRMZM2G147867	pUT1609
AC155434.2_FG006	pUT1136
GRMZM2G096358	pUT1137
GRMZM2G163251	pUT1145
GRMZM2G106798	pUT1146
GRMZM2G148467	pUT1152
GRMZM2G104551	pUT1153
GRMZM2G400489	pUT1161
GRMZM2G056099	pUT1171
GRMZM2G121309	pUT1132
GRMZM2G307588	pUT1135
GRMZM2G051528	pUT1151
GRMZM2G419239	pUT1150
AC206901.3_FG005	pUT1165
GRMZM2G161680	pUT1431
GRMZM2G146286	pUT1497
GRMZM2G003182	pUT1433
GRMZM2G116475	pUT1762
GRMZM2G127490	pUT1765
GRMZM2G114444	pUT1801
GRMZM2G006752	pUT1802
GRMZM5G834596	pUT1887
GRMZM2G392168	pUT1856
GRMZM2G085964	pUT1602
GRMZM2G110242	pUT1680
GRMZM2G178072	pUT1166
AC233880.1_FG006	pUT1394
GRMZM2G014653	pUT1169
GRMZM2G114461	pUT1768
GRMZM2G149132	pUT1769
GRMZM2G156621	pUT1800
GRMZM2G042627	pUT1454
GRMZM2G139688	pUT1459
GRMZM2G169316	pUT1663
GRMZM2G101769	pUT1763
GRMZM2G116638	pUT1682
GRMZM2G139024	pUT1683
GRMZM2G086403	pUT1760
GRMZM2G057131	pUT1753
GRMZM2G475263	pUT1501
GRMZM2G079632	pUT1133
GRMZM2G080516	pUT1139
GRMZM2G131961	pUT1141
GRMZM2G081557	pUT1147
GRMZM2G041415	pUT1148
GRMZM2G112483	pUT1163
GRMZM2G170049	pUT1170
GRMZM5G887276	pUT1158
GRMZM2G039828	pUT1164
