genename	element
SCQGHR1011D01.g	TF
SCVPST1060B03.g	TF
SCCCLR1076E11.g	TF
SCSGHR1069F07.g	TF
SCBGLR1099D07.g	TF
SCEPAM1053B09.g	TF
PTSo00457.1	TF
PTSo00479.1	TF
SCMCSD1061C11.g	TF
PTSo00348.1	TF
SCRLRZ3041C03.g	TF
SCEQRZ3023E01.g	TF
SCSBSB1095F11.g	TF
SCEPLB1042D02.g	TF
PTSo00043.1	TF
SCCCLR2002G04.g	TF
SCCCLR1078B11.g	TF
SCEPLR1030H12.g	TF
SCQGLR1019H03.g	TF
PTSo01143.1	TF
SCRUAD1064F09.g	TF
PTSo00492.1	TF
SCCCCL3140E02.g	TF
SCCCLR1072B02.g	TF
PTSo00852.1	TF
PTSo00895.1	TF
PTSo00999.1	TF
SCJLFL1048G03.g	TF
PTSo01071.1	TF
SCSGHR1066H10.g	TF
SCEQRT1027D04.g	TF
PTSo00417.1	TF
PTSo00495.1	TF
SCEZHR1083B10.g	TF
PTSo00487.1	TF
SCCCLB1026B10.g	TF
SCACLR1057G02.g	TF
PTSo00552.1	TF
SCCCCL4005G08.g	TF
PTSo01087.1	TF
PTSo01129.1	TF
SCJFLR1035A11.g	TF
SCEPAM1107F11.g	TF
SCCCLR1022F12.g	TF
SCEPRT2048E07.g	TF
PTSo00032.1	TF
SCRFLR1034E12.g	TF
PTSo00414.1	TF
SCJLRT1020H07.g	TF
SCCCRT1002F09.g	TF
SCBFRZ2016F05.g	TF
PTSo00346.1	TF
SCAGLR2026H09.g	TF
SCQSLB1049E03.g	TF
SCEPRZ1008F01.g	TF
SCUTRZ3103F02.g	TF
SCRFAD1116F08.g	TF
PTSo00559.1	TF
SCJLRT2049C12.b	TF
PTSo00289.1	TF
SCJLLR1106D03.g	TF
SCSFST1064F09.g	TF
SCEQLB1066A06.g	TF
SCEZRT2019C07.g	TF
SCCCLB1021G11.g	TF
PTSo00419.1	TF
SCEZRZ3017D07.g	TF
SCUTST3086D12.g	TF
SCRUSB1062G07.g	TF
SCJFRT2060G04.g	TF
SCJLRT1016A09.g	TF
SCCCRT2004F04.g	TF
SCJLFL4183H11.b	TF
SCVPRZ2043G09.g	TF
PTSo00124.1	TF
PTSo00908.1	TF
PTSo00912.1	TF
SCQSLB1052B11.g	TF
PTSo00306.1	TF
PTSo01166.1	TF
SCBGHR1057H07.g	TF
PTSo00420.1	TF
SCACHR1038D01.g	TF
PTSo00277.1	TF
PTSo00415.1	TF
PTSo01009.1	TF
SCUTSD1025G01.g	TF
SCQSAM2098F11.g	TF
SCRFFL8035G01.g	TF
SCAGSB1089H05.g	TF
SCEZFL4047B04.g	TF
PTSo00856.1	TF
SCEZLR1031F04.g	TF
SCCCRZ1002G10.g	TF
SCCCRT1003G04.g	TF
SCVPRZ2039E07.g	TF
PTSo00865.1	TF
SCEQRZ3023C12.g	TF
SCEPAM2015F01.g	TF
PTSo00431.1	TF
SCJFRZ2028D02.g	TF
SCEQRT2025G01.g	TF
SCJFRT2054C09.g	TF
PTSo01065.1	TF
SCCCRZ1C01G03.g	TF
PTSo00480.1	TF
PTSo00385.1	TF
PTSo00491.1	TF
PTSo00854.1	TF
SCSBLB2037C10.g	TF
SCSGAM2077G06.g	TF
SCCCCL4001E03.g	TF
SCEQLB1068H10.g	TF
PTSo01066.1	TF
SCQGRT1040E05.g	TF
SCRUSB1062H09.b	TF
PTSo01070.1	TF
SCUTLR2023G02.g	TF
PTSo00418.1	TF
SCRLRZ3040D04.g	TF
SCJLSB1060C04.b	TF
SCEQAM1040C02.g	TF
SCJLRT1013E09.g	TF
PTSo01054.1	TF
PTSo00353.1	TF
SCQGLR1019C02.g	TF
PTSo00332.1	TF
SCSGFL4190E07.g	TF
SCMCST1057C06.g	TF
SCCCLR2003D10.g	TF
SCAGLR1043D03.g	TF
SCSBAD1051B03.g	TF
SCRLSD1013F12.g	TF
SCCCRT1C02H06.g	TF
PTSo00125.1	TF
SCCCAM2C08H01.g	TF
SCACCL6007B07.g	TF
PTSo01151.1	TF
PTSo00056.1	TF
PTSo00354.1	TF
SCSGSB1007G01.g	TF
PTSo00905.1	TF
PTSo00773.1	TF
SCBGSB1026H10.g	TF
PTSo00102.1	TF
PTSo01170.1	TF
SCCCFL2002D10.g	TF
PTSo01110.1	TF
SCJFRT1008B09.b	TF
SCCCCL4015C03.g	TF
SCVPLR2027G07.g	TF
SCQGST1032D08.g	TF
PTSo00524.1	TF
SCRLAM1014G08.g	TF
SCEQRT2025A12.g	TF
SCJLRT1013D05.g	TF
PTSo00288.1	TF
PTSo00327.1	TF
SCQSFL1126G06.g	TF
PTSo01136.1	TF
SCEQLR1007F11.g	TF
PTSo00838.1	TF
SCUTLR2015B09.g	TF
SCJLRT1018G08.g	TF
PTSo00871.1	TF
SCMCRT2104G12.g	TF
SCCCCL4003D08.g	TF
SCEQHR1081E06.g	TF
PTSo01024.1	TF
PTSo00481.1	TF
SCSBFL4012B01.g	TF
SCCCLR1066C06.g	TF
SCQGST1029H02.g	TF
SCCCCL4014C02.g	TF
SCSFLR2016F09.g	TF
PTSo01165.1	TF
SCCCLR1C05A09.g	TF
PTSo01098.1	TF
PTSo00018.1	TF
SCEQRT2027F03.g	TF
PTSo01032.1	TF
SCQSHR1023D08.g	TF
PTSo01083.1	TF
SCSGCL6070C01.g	TF
SCQSST3116C10.g	TF
SCEZAM2250C05.g	TF
SCACLR1036H03.g	TF
SCRLRZ3116D05.g	TF
PTSo00008.1	TF
SCCCLR2C03B01.g	TF
PTSo01094.1	TF
PTSo01135.1	TF
PTSo00382.1	TF
PTSo00449.1	TF
PTSo00832.1	TF
SCEZLB1014G06.g	TF
SCBFRZ2019E05.g	TF
PTSo01021.1	TF
PTSo00919.1	Coreg
SCEQRT2025D01.g	Coreg
PTSo00942.1	Coreg
PTSo00953.1	Coreg
SCEPRZ1011B04.g	Coreg
PTSo00928.1	Coreg
PTSo00282.1	TF
SCRUFL4021G08.g	TF
SCSBAD1126H02.g	TF
SCCCRT1003E06.g	TF
PTSo00882.1	TF
SCRURT2012G01.g	TF
PTSo00092.1	TF
SCEQRT1027H04.g	TF
SCAGLB1072H01.g	TF
SCSGRT2066E06.g	TF
SCEQLB1068H07.g	TF
PTSo00834.1	TF
SCEPLB1042E05.g	TF
SCEPFL4181A08.g	TF
SCJFRT1009H11.g	TF
SCEZLB1010E10.g	TF
PTSo00994.1	TF
SCJFRZ2025A06.g	TF
SCBGFL3094F02.g	TF
SCEQLB1065H10.g	TF
PTSo00365.1	TF
SCEQRT2095F07.g	TF
SCCCCL3004C07.b	TF
SCCCLR1C02D02.g	TF
PTSo00116.1	TF
SCBGAD1026G11.g	TF
PTSo00900.1	TF
PTSo00904.1	TF
SCCCCL4001D08.g	TF
SCBFAD1047F02.g	TF
PTSo00265.1	TF
PTSo00510.1	TF
SCEZAM2035E12.g	TF
SCEQRT1028D09.g	TF
PTSo00107.1	TF
SCJLRT1015C08.g	TF
SCSGAM1095E12.g	TF
PTSo00111.1	TF
SCSBFL1041A06.g	TF
SCUTFL1058H11.g	TF
PTSo00483.1	TF
SCJFRZ2014D06.g	TF
SCCCFL3001F03.g	TF
PTSo00266.1	TF
PTSo00355.1	TF
SCEZRT2020F12.g	TF
PTSo00378.1	TF
PTSo01088.1	TF
SCCCCL4005C09.g	TF
SCRFAM1027C11.g	TF
PTSo00297.1	TF
PTSo00885.1	TF
SCCCLR2003C07.g	TF
PTSo00335.1	TF
SCEPLR1051A10.g	TF
SCCCLR1C04F11.g	TF
SCSGSB1005A04.g	TF
SCCCCL6001D08.g	TF
PTSo00881.1	TF
SCSFRT2068G06.g	TF
PTSo00540.1	TF
PTSo00575.1	TF
SCCCLB1024F12.g	TF
PTSo00366.1	TF
PTSo00869.1	TF
SCBGLR1082A10.g	TF
PTSo00557.1	TF
PTSo00913.1	TF
PTSo00861.1	TF
PTSo00825.1	TF
SCMCFL5005H11.g	TF
SCQSLR1089B09.g	TF
PTSo00351.1	TF
SCJLLR1011F10.g	TF
SCACHR1035B11.g	TF
SCJFRT2059H08.g	TF
PTSo01164.1	TF
PTSo00352.1	TF
SCJFRZ2007C05.g	TF
PTSo00362.1	TF
SCVPLB1018G11.g	TF
SCJLFL3018H01.g	TF
PTSo00259.1	TF
SCACST3159E04.g	TF
SCCCCL4009H05.g	TF
SCCCCL3120H01.g	TF
SCSFAD1071F10.g	TF
SCCCLR1077E05.g	TF
SCRULB1059A08.g	TF
SCQSRZ3037A12.b	TF
PTSo01079.1	TF
PTSo00509.1	TF
PTSo00888.1	TF
SCSFRT2070A07.g	TF
SCQGFL8018F08.g	TF
PTSo00501.1	TF
SCSBRZ2021G05.g	TF
PTSo00915.1	TF
PTSo00459.1	TF
SCQSRT3052A11.g	TF
SCCCST1008G06.g	TF
SCCCCL3120F06.g	TF
SCEQRT2030D12.g	TF
SCACCL6009B02.g	TF
PTSo00523.1	TF
SCSGRZ3061B02.g	TF
PTSo00260.1	TF
SCRFLR1012G12.g	TF
SCQGLR1019C06.g	TF
SCEZLR1009A01.g	TF
PTSo00326.1	TF
SCVPCL6047G09.g	TF
SCJLST1019B09.g	TF
SCBFRZ2018G02.g	TF
SCQGAM2026C10.g	TF
SCRUHR1073H07.g	TF
SCRFAD1023F12.g	TF
PTSo00094.1	TF
SCSBST3101E05.g	TF
PTSo00275.1	TF
SCJLST1023C02.g	TF
SCJFLR1074E01.g	TF
PTSo01152.1	TF
PTSo00567.1	TF
PTSo00009.1	TF
SCMCRT2103F02.g	TF
PTSo00388.1	TF
PTSo00372.1	TF
PTSo00118.1	TF
SCEPRZ3129A06.g	TF
PTSo00862.1	TF
PTSo00386.1	TF
SCQSRT2036E08.g	TF
SCEZLB1010H05.g	TF
SCJLRZ1020G01.g	TF
PTSo00892.1	TF
SCACSB1120G07.g	TF
SCQSRT2034E01.g	TF
PTSo00375.1	TF
SCJFRZ2034D03.g	TF
PTSo00901.1	TF
PTSo00344.1	TF
SCBGHR1058B01.g	TF
SCEZLB1013C01.g	TF
SCUTLR2023D06.g	TF
SCRURT2008F06.g	TF
PTSo00339.1	TF
SCCCLR2C03E09.g	TF
SCSBAD1051C05.g	TF
SCVPST1060E04.g	TF
SCEQSB1C02H08.g	TF
SCBGLR1023D10.g	TF
SCSGLR1045C11.g	TF
SCJLRZ1026D05.g	TF
PTSo00578.1	TF
SCQSRT2033A08.g	TF
SCVPLR2027D09.g	TF
SCCCCL3004A05.b	TF
PTSo00273.1	TF
SCMCRZ3066D07.g	TF
PTSo00024.1	TF
SCJFLR1035E04.g	TF
SCSBST3100F06.g	TF
PTSo00059.1	TF
SCCCCL3002F04.b	TF
SCMCST1051A01.g	TF
SCMCRT2105A02.g	TF
PTSo00117.1	TF
SCEQRT1024G12.g	TF
SCVPLR2012A03.g	TF
PTSo00293.1	TF
SCBGLR1099F04.g	TF
PTSo00833.1	TF
SCEZRZ1014A04.g	TF
SCMCLR1122B12.g	TF
PTSo00499.1	TF
PTSo00428.1	TF
PTSo01099.1	TF
SCBGAD1027C03.g	TF
PTSo00776.1	TF
PTSo00057.1	TF
SCBFRT1071C02.g	TF
SCEPRT2048D04.g	TF
SCCCLR1C03C05.g	TF
PTSo00014.1	TF
SCJLLB2077F08.g	TF
PTSo00780.1	TF
PTSo00828.1	TF
SCJLRT1018B06.g	TF
SCMCCL6050A04.g	TF
PTSo00049.1	TF
PTSo00877.1	TF
SCJFRZ2032E09.g	TF
SCCCRT2001F08.g	TF
PTSo00879.1	TF
PTSo00029.1	TF
PTSo00872.1	TF
PTSo00826.1	TF
SCJFRZ1007F10.g	Coreg
SCCCRZ2002C10.g	Coreg
SCSGFL4C06A07.g	Coreg
SCACAM2043E12.g	TF
PTSo01108.1	TF
SCSBAD1053E03.g	TF
PTSo00034.1	TF
SCQGLR1041E11.g	TF
SCCCAM2001G05.g	TF
PTSo00269.1	TF
SCUTAM2115A03.g	TF
PTSo01062.1	TF
SCCCLR2C03H07.g	TF
SCUTLR2030B08.g	TF
SCACLB1048D06.g	TF
PTSo00331.1	TF
SCRFFL4006A09.g	TF
SCRLRZ3040F11.g	TF
SCCCFL4003D09.g	TF
SCJFRZ1006D09.g	TF
SCQGFL3058A02.g	TF
SCEZRZ3051H10.g	TF
SCQSRT1035F04.g	TF
SCJFST1017B02.g	TF
SCVPRT2076E10.g	TF
SCVPAM1059D02.g	TF
SCRURT2012D03.g	TF
PTSo00827.1	TF
SCBGAD1027A11.g	TF
PTSo01172.1	TF
SCACLR1130H08.g	TF
PTSo01084.1	TF
PTSo00899.1	TF
SCCCLR1C07F08.g	TF
PTSo00533.1	TF
SCRLFL1011F10.g	TF
SCCCLR1C04H01.g	TF
SCCCLR1C04A01.g	TF
PTSo00403.1	TF
SCQGLR1062D05.g	TF
SCQGRT1043E05.g	TF
PTSo01150.1	TF
SCAGLR1064B08.g	TF
PTSo00992.1	TF
SCEZRZ1015E08.g	TF
SCCCST2004E07.g	TF
PTSo00100.1	TF
PTSo01141.1	TF
PTSo01074.1	TF
SCCCCL4008E11.g	TF
SCAGSD2042D08.g	TF
SCEZAM1081C11.g	TF
PTSo00123.1	TF
PTSo01059.1	TF
SCAGST3141B07.g	TF
SCMCCL6052E02.g	TF
SCACSB1125H12.g	TF
SCEPCL6023G09.g	TF
PTSo00338.1	TF
SCCCLR1077F09.g	TF
PTSo00285.1	TF
SCSBAD1083E01.g	TF
PTSo01068.1	TF
PTSo00006.1	TF
SCVPRZ2040C12.g	TF
SCCCFL8002D05.g	TF
PTSo00855.1	TF
SCBGLR1116H02.g	TF
SCEQAM2039A10.g	TF
SCCCLR1068F01.g	TF
SCQGLR1088A06.g	TF
SCSGAM1094E09.g	TF
PTSo00434.1	TF
SCCCCL3005D10.b	TF
SCBFAM2120A10.g	TF
SCACLR1036E09.g	TF
PTSo01050.1	TF
SCQGST1030G10.g	TF
PTSo00845.1	TF
SCQGST1029H07.g	TF
PTSo00400.1	TF
SCCCHR1004B08.g	TF
SCQSST3116B02.g	TF
SCJFAD1013B08.b	TF
SCEQRT1030H12.g	TF
PTSo00334.1	TF
SCCCRZ1004B06.g	TF
PTSo00091.1	TF
PTSo00128.1	TF
SCCCLR1068F02.g	TF
PTSo00023.1	TF
SCJFRZ3C03E04.g	TF
SCCCCL4004G08.g	TF
SCBGRT3013F10.g	TF
PTSo00498.1	TF
SCAGAD1076G06.g	TF
PTSo00013.1	TF
SCBFRZ2018G09.g	TF
SCCCFL4092A07.g	TF
SCBGLR1003E02.g	TF
SCCCLR1048E10.g	TF
SCBFRZ2016C07.g	TF
SCSBSD1029A06.g	TF
SCJLRT1021A10.g	TF
SCEQRT2097C12.g	TF
SCJFST1014E05.g	TF
SCSGST1071C02.g	TF
SCCCRZ1001B02.g	TF
SCUTSD1086G04.g	TF
PTSo01060.1	TF
SCAGLR1043F09.g	TF
SCEPRZ1009B03.g	TF
PTSo00396.1	TF
SCBFRT3092F02.g	TF
PTSo00843.1	TF
PTSo00893.1	TF
SCSBAD1085B04.g	TF
SCEZAM1083H04.g	TF
PTSo00268.1	TF
SCBGSD1050A02.g	TF
SCBFRZ2016H06.g	TF
SCCCLB1024B02.g	TF
PTSo00532.1	TF
PTSo00791.1	TF
PTSo01103.1	TF
PTSo00374.1	TF
SCVPCL6063H01.g	TF
PTSo00263.1	TF
SCRFAM2071F05.g	TF
PTSo00778.1	TF
SCEZFL5085D06.g	TF
SCJFRZ2009D12.g	TF
SCBGLR1119B09.g	TF
SCQGLR2017H08.g	TF
SCACAM1071D04.g	TF
SCVPRZ3030F10.g	TF
SCJFRZ2012A04.g	TF
SCUTAM2112A06.g	TF
SCEQRT2095E01.g	TF
SCBGST3108E12.g	TF
PTSo00341.1	TF
SCSGLR1084D12.g	TF
PTSo00127.1	TF
PTSo00437.1	TF
PTSo01174.1	TF
SCUTFL1055E01.g	TF
SCEQLB1067E03.g	TF
PTSo00851.1	TF
